ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad 520,8,2048,0.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD, MX150,4,69990
IdeaPad 330,4,2048,0.00,0.00,Windows-Home,Intel-i3-8,15.6,FHD,Intel UHD,0,37301
IdeaPad 330S(15i),4,1024,0.00,0.00,Windows-Home,Intel-i5-8,15.6,FHD,AMD Radeon 540,4,58120
IdeaPad 130,8,1024,0.00,0.00,DOS,Intel-i5-8,15.6,HD,MX110,2,39990
IdeaPad Flex 5,8,1024,0.00,0.00,Windows-Pro,Intel-i7-10,14,FHD Touch,940MX,4,90180
ThinkPad X1 Carbon 7,16,0,512.00,0.00,Windows-Pro,Intel-i7-10,14,WQHD,Intel UHD,0,183590
ThinkPad X1 Carbon 7,16,0,512.00,0.00,Windows-Pro,Intel-i7-10,14,WQHD,Integrated,0,190440
ThinkPad X1 Yoga Gen 4,16,0,512.00,0.00,Windows-Pro,Intel-i7-11,14,WQHD Touch,Intel UHD,0,202500
ThinkPad X1 Carbon 6,8,0,256.00,0.00,Windows-Home,Intel-i5-8,14,FHD,Intel UHD,0,119990
ThinkPad X1 Yoga ,8,0,512.00,0.00,Windows-Pro,Intel-i5-8,14,WQHD Touch,Integrated,0,159990
ThinkPad X1 Yoga Gen1 ,8,0,512.00,0.00,Windows-Pro,Intel-i5-6,14,WQHD Touch,Intel HD,0,89990
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Home,Intel-i5-9-9300,15.6,FHD,GTX 1650,4,192540
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Home,Intel-i5-9-9400,15.6,FHD,GTX 1650,4,202587
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Home,Intel-i7-9-9750,15.6,FHD,GTX 1650,4,205470
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Home,Intel-i7-9-9850,15.6,FHD,GTX 1650,4,226278
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Pro,Intel-i5-9-9300,15.6,FHD,GTX 1650,4,197640
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Pro,Intel-i5-9-9400,15.6,FHD,GTX 1650,4,207687
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Pro,Intel-i7-9-9750,15.6,FHD,GTX 1650,4,210570
ThinkPad X1 EXTREME Gen2,8,0,256.00,0.00,Windows-Pro,Intel-i7-9-9850,15.6,FHD,GTX 1650,4,231378
ThinkPad X1 EXTREME Gen2,8,0,256.00,256.00,Windows-Home,Intel-i5-9-9300,15.6,FHD,GTX 1650,4,197747
ThinkPad X1 EXTREME Gen2,8,0,256.00,256.00,Windows-Home,Intel-i5-9-9400,15.6,FHD,GTX 1650,4,207794
ThinkPad X1 EXTREME Gen2,8,0,256.00,256.00,Windows-Home,Intel-i7-9-9750,15.6,FHD,GTX 1650,4,210677
